12:53:29.105601 IP6 asus.mdns > ff02::fb.mdns: 0 [9q] PTR (QM)? _ipps._tcp.local. PTR (QM)? _ftp._tcp.local. PTR (QM)? _webdav._tcp.local. PTR (QM)? _webdavs._tcp.local. PTR (QM)? _sftp-ssh._tcp.local. PTR (QM)? _smb._tcp.local. PTR (QM)? _afpovertcp._tcp.local. PTR (QM)? _nfs._tcp.local. PTR (QM)? _ipp._tcp.local. (141)
12:55:25.279371 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.279957 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.280536 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.281108 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.281690 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.282268 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.282854 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.283433 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.284009 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.284590 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.285179 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.285759 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.286331 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.286903 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.287468 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.288036 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.288612 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.289189 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.289774 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.290348 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.290920 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.291482 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.292057 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.292648 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.293246 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.293824 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.294395 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.294973 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.295548 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.296122 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.296686 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.297265 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.297835 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.298427 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.299007 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.299593 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.300186 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.300781 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.301354 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.301939 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.302518 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.303098 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.303737 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.304306 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.304872 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.305438 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.306032 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.306605 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.307190 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.307761 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.308355 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.308942 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.309505 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.310091 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.310693 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.311269 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.311875 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.312460 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.313038 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.313621 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.314209 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.314803 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.315392 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.315986 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.316578 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.317167 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.317759 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.318347 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.318934 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.319521 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.320109 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.320716 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.321324 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.321931 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.322507 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.323089 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.323671 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.324289 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.324878 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.325485 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.326093 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.326703 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.327310 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.327888 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.328481 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.329057 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.329642 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.330244 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.330848 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.331433 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.332020 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.332607 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.333214 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.333814 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.334405 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.334998 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.335611 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.336227 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.336840 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.337457 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.338074 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.338680 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.339285 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.339898 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.340511 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.341122 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.341736 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.342349 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.342961 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.343574 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.344187 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.344805 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.345439 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.346044 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.346650 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.347254 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.347860 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.348461 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.349050 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.349636 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.350225 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.350824 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.351417 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.352014 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.352606 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.353222 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.353839 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.354432 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.355039 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.355623 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.356239 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.356855 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.357471 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.358086 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.358700 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.359315 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.359929 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.360524 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.361128 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.361745 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.362336 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.362931 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.363534 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.364144 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.364727 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.365358 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.365987 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.366584 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.367171 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.367761 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.368366 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.368968 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.369569 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.370151 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.370769 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.371386 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.372003 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.372619 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.373234 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.373850 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.374464 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.375080 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.375732 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.376350 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.376966 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.377596 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.378198 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.378819 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.379441 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.380063 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.380685 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.381297 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.381909 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.382516 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.383112 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.383736 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.384357 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.384949 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.385569 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.386173 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.386797 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.387407 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.388020 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.388634 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.389217 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
