16:39:49.530413 IP6 asus.mdns > ff02::fb.mdns: 0 [9q] PTR (QM)? _nfs._tcp.local. PTR (QM)? _ipp._tcp.local. PTR (QM)? _ipps._tcp.local. PTR (QM)? _ftp._tcp.local. PTR (QM)? _webdav._tcp.local. PTR (QM)? _webdavs._tcp.local. PTR (QM)? _sftp-ssh._tcp.local. PTR (QM)? _smb._tcp.local. PTR (QM)? _afpovertcp._tcp.local. (141)
16:39:56.750241 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.750889 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.751534 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.752178 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.752823 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.753467 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.754110 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.754755 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.755399 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.756044 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.756689 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.757333 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.757976 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.758619 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.759264 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.759909 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.760555 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.761197 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.761820 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.762464 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.763109 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.763753 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.764361 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.765005 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.765649 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.766293 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.766939 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.767583 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.768287 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.768922 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.769585 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.770251 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.770917 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.771583 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.772301 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.772969 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.773634 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.774299 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.774960 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.775583 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.776205 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.776824 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.777487 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.778154 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.778822 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.779487 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.780153 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.780820 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.781487 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.782152 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.782818 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.783483 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.784149 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.784815 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.785482 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.786149 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.786814 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.787480 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.788146 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.788814 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.789481 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.790146 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.790835 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.791501 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.792168 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.792835 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.793502 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.794168 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.794835 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.795502 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.796169 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.796836 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.797501 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.798168 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.798834 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.799501 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.800169 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.800827 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.801462 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.802093 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.802726 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.803357 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.803993 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.804629 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.805261 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.805894 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.806527 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.807163 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.807834 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.808457 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.809107 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.809758 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.810409 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.811050 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.811674 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.812281 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.812894 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.813507 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.814119 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.814732 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.815344 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.815956 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.816569 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.817182 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.817794 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.818407 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.819022 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
